title,track,mode,region,level,deadline,description,format,eligibility,howToApply,tags,applyUrl,officialUrl
"Canadian High Schools Model United Nations (CAHSMUN)","MUN","In-Person","Canada","High School","TBA (see official listing)","CAHSMUN is one of the flagship Canadian high school MUN conferences and a serious training ground for delegates who want fast paced debate without the intimidation factor of the US mega conferences. It attracts strong school delegations and rewards clear policy thinking, disciplined procedure, and coalition building. If you want a reputable North American conference with a competitive but educational vibe, CAHSMUN is a classic pick.","Committee sessions -> Draft resolutions -> Negotiation blocs -> Voting and awards (committee offerings vary by year)","High school students (typically Grade 8-12); school delegations and independent delegates depending on conference policy","1. Open the official listing. 2. Locate the CAHSMUN page or host link. 3. Register a delegation or individual account if offered. 4. Pay fees if required. 5. Submit country and committee preferences by the posted deadline.","mun|high-school|canada|debate|diplomacy","https://en.wikipedia.org/wiki/List_of_model_United_Nations_conferences","https://en.wikipedia.org/wiki/List_of_model_United_Nations_conferences"
"Canada International Model United Nations (CAIMUN)","MUN","In-Person","Canada","High School","TBA (see official listing)","CAIMUN is positioned as an internationally oriented Canadian conference and is a strong option for students who want global themed committees and a diverse delegate pool. It is often chosen by schools building a balanced MUN season because it blends skills building with meaningful competition. Expect solid chairing standards and plenty of opportunities to practice both formal speeches and informal negotiation.","Opening session -> Committee debates -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 8-12); school delegations and independent delegates depending on conference policy","1. Open the official listing. 2. Find CAIMUN details and host page. 3. Register delegation or individual entry as allowed. 4. Confirm payment and assignments. 5. Prepare position paper if required.","mun|high-school|canada|international|policy","https://en.wikipedia.org/wiki/List_of_model_United_Nations_conferences","https://en.wikipedia.org/wiki/List_of_model_United_Nations_conferences"
"Ontario Model United Nations (OMUN)","MUN","In-Person","Canada","High School","TBA (see official site)","OMUN is a well known Ontario circuit conference that many schools treat as a major milestone in the season because it is competitive, structured, and reliably organized. It is a great place to sharpen real committee skills like drafting, merging, and negotiating under time pressure. If you want a conference that feels serious but still accessible, OMUN is a strong bet.","Opening ceremonies -> Committee sessions -> Working paper drafting -> Draft resolution debate -> Voting and awards","High school students (typically Grade 9-12); participation as a school delegation is common","1. Go to the OMUN site. 2. Create or locate delegation registration. 3. Submit delegation size and school details. 4. Pay fees. 5. Complete country and committee selections by the deadlines posted.","mun|high-school|canada|ontario|resolution-writing","https://www.ontariomun.com/","https://www.ontariomun.com/"
"Alberta Model United Nations (ABMUN)","MUN","In-Person","Canada","High School","TBA (see official listing)","ABMUN is a key Western Canada conference and a reliable choice for schools that want competitive debate without needing international travel. It is especially good for building confidence in formal procedure and structured resolution work. Many delegates use ABMUN as a stepping stone before aiming for bigger North American conferences.","Opening session -> Committee debate -> Draft resolution process -> Voting and awards","High school students (typically Grade 8-12); school delegations and independent delegates depending on conference policy","1. Open the high school MUN conferences directory. 2. Search for ABMUN and follow the host link. 3. Register your school delegation or individual entry. 4. Pay fees if required. 5. Submit preferences and required documents by the listed deadlines.","mun|high-school|canada|alberta|debate","https://bestdelegate.com/high-school-model-united-nations-conferences/","https://bestdelegate.com/high-school-model-united-nations-conferences/"
"Vancouver Model United Nations (VMUN)","MUN","In-Person","Canada","High School","TBA (see official listing)","VMUN is one of the best known student conferences on the Canadian West Coast and is popular because it combines strong educational value with real competition. It is especially good for newer delegates who want to learn procedure quickly, while still being challenging enough for experienced students to push for awards. If your goal is skill growth plus a solid conference reputation, VMUN fits.","Opening ceremonies -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 8-12); school delegations and independent delegates depending on conference policy","1. Open the high school MUN conferences directory. 2. Find VMUN and follow its host link. 3. Register the delegation or individual spot if allowed. 4. Pay fees. 5. Confirm committee assignments and prep position papers if required.","mun|high-school|canada|vancouver|training","https://bestdelegate.com/high-school-model-united-nations-conferences/","https://bestdelegate.com/high-school-model-united-nations-conferences/"
"Southern Ontario Model United Nations Assembly (SOMA)","MUN","In-Person","Canada","High School","TBA (see official listing)","SOMA is a strong regional conference for building practical committee instincts, especially for delegates who want lots of speaking time and negotiation reps. It is often a circuit favorite because it is accessible, well attended, and good for team development across a whole delegation. If your school wants a dependable competition to train newer delegates while still giving seniors a challenge, SOMA works well.","Opening session -> Committee debate -> Draft resolutions -> Voting and awards","High school students (typically Grade 8-12); school delegations and independent delegates depending on conference policy","1. Open the high school MUN conferences directory. 2. Locate SOMA and open the host page. 3. Register your delegation or individual entry. 4. Pay fees if needed. 5. Submit preferences and any required paperwork before the posted deadline.","mun|high-school|canada|ontario|regional","https://bestdelegate.com/high-school-model-united-nations-conferences/","https://bestdelegate.com/high-school-model-united-nations-conferences/"
"Secondary Schools United Nations Symposium (SSUNS)","MUN","In-Person","Canada","High School","TBA (see official listing)","SSUNS is a respected Montreal circuit event that many schools value for its educational focus and strong committee culture. It is a great place to practice resolution writing, bloc leadership, and consensus building in a setting that still takes awards seriously. If you want a credible Canadian conference with a classic committee experience, SSUNS is a solid option.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 8-12); school delegations are common","1. Open the high school MUN conferences directory. 2. Find SSUNS and follow the host link. 3. Register your school delegation. 4. Pay fees if required. 5. Complete country and committee selections and submit position papers if required.","mun|high-school|canada|montreal|committee","https://bestdelegate.com/high-school-model-united-nations-conferences/","https://bestdelegate.com/high-school-model-united-nations-conferences/"
"Montreal United Nations Conference (MUNC)","MUN","In-Person","Canada","High School","TBA (see official listing)","MUNC is a well known Montreal area high school conference that is popular because it offers a strong delegate experience without the complexity and cost of international travel. It is especially useful for schools building depth in their MUN program, since it supports both newer and more experienced delegates. Expect a structured schedule, clear procedure, and plenty of negotiation time.","Opening ceremonies -> Committee debate -> Drafting and merging -> Voting and awards","High school students (typically Grade 8-12); school delegations and independent delegates depending on conference policy","1. Open the high school MUN conferences directory. 2. Locate MUNC and open the host page. 3. Register your delegation or individual entry as permitted. 4. Pay fees. 5. Submit preferences and required documents by deadlines.","mun|high-school|canada|montreal|debate","https://bestdelegate.com/high-school-model-united-nations-conferences/","https://bestdelegate.com/high-school-model-united-nations-conferences/"
"St. Andrew’s College Model United Nations (SACMUN)","MUN","In-Person","Canada","High School","TBA (see official listing)","SACMUN is a strong school hosted conference in Ontario that delegates often recommend for its organized flow and good committee pacing. It is a great environment to practice being strategic with speeches, amendments, and coalition management. If you want a polished conference experience that still feels student centered, SACMUN is worth targeting.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 8-12); usually registered through schools","1. Open the high school MUN conferences directory. 2. Find SACMUN and follow its host link. 3. Register as a school delegation. 4. Pay fees if required. 5. Submit country and committee preferences and any position papers by deadlines.","mun|high-school|canada|ontario|school-hosted","https://bestdelegate.com/high-school-model-united-nations-conferences/","https://bestdelegate.com/high-school-model-united-nations-conferences/"
"Appleby College Model United Nations (ACMUN)","MUN","In-Person","Canada","High School","TBA (see official listing)","Appleby College’s ACMUN is a reputable Ontario circuit conference that is often praised for tight logistics and a strong delegate experience. It is especially good for developing practical skills like drafting clean clauses, negotiating merges, and maintaining decorum under pressure. Many delegations treat it as a dependable competitive stop in the spring season.","Opening session -> Committee debate -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 8-12); registration usually through schools","1. Open the high school MUN conferences directory. 2. Locate ACMUN and open Appleby’s host page. 3. Register your school delegation. 4. Pay fees if needed. 5. Submit preferences and required documents by posted deadlines.","mun|high-school|canada|ontario|resolution-writing","https://bestdelegate.com/high-school-model-united-nations-conferences/","https://bestdelegate.com/high-school-model-united-nations-conferences/"
