"title","track","mode","region","level","deadline","description","format","eligibility","howToApply","tags","applyUrl","officialUrl"
"USACO January Contest","Algo","Online","USA/Global","Adv","2026-01-09","First contest of the calendar year. Critical for promotion.","4-Hour Exam","Open to all","Register at usaco.org","C++, Java, Python","usaco.org","usaco.org"
"DreamVenture","Hack","In-Person","Cambridge, MA","Beg/Int","2026-01-10","Entrepreneurship & Tech hackathon at Microsoft NERD.","12-Hour Hack","High School","Register online","Innovation, Startup","dreamventure.cloud","dreamventure.cloud"
"Valley Hacks","Hack","In-Person","Newark, CA","Beg/Int","2026-01-10","Bay Area student hackathon. Networking focus.","12-Hour Hack","High School","Register online","Web, App, AI","valleyhacks.org","valleyhacks.org"
"JourneyHacks","Hack","In-Person","Burnaby, BC","Int","2026-01-10","Hosted at SFU. Focus on sustainability themes.","24-Hour Hack","HS Students","Register via site","Canada, GreenTech","journeyhacks.sfusurge.com","journeyhacks.sfusurge.com"
"Robofest Kickoff III","Robotics","Hybrid","Southfield, MI","All","2026-01-10","Final rules published for 2026 World Championship.","Workshop","Registered Teams","Via Coach","Autonomous, LEGO","robofest.net","robofest.net"
"Oxford Computing Challenge","Algo","Online","UK","Adv","2026-01-12","Invite-only for top Bebras performers.","1-Hour Exam","Invite Only","Through School","Python, Logic","bebras.uk","bebras.uk"
"Missouri Cyber Challenge","Security","Online","USA (MO)","Int","2026-01-13","Round 1 of the state CTF.","CTF","Missouri HS","Through School","CTF, Defense","more.net","more.net"
"MITRE eCTF Start","Security","Online","Global","Adv","2026-01-14","Competition begins. Design secure embedded system.","Semester-Long","HS/College","Team Reg","Embedded, C","mitre.org","mitre.org"
"Coolest Projects","Make","Online","Global","All","2026-01-14","Registration opens for global showcase.","Project Show","Age <18","Submit Project","Creative, Scratch","coolestprojects.org","coolestprojects.org"
"OMI (Mexico) State Quals","Algo","Hybrid","Mexico","Adv","2026-01-16","State selection exams (e.g., Aguascalientes).","Exam","Mexico HS","State Delegate","C++, Logic","omiags.org","omiags.org"
"HackBI IX","Hack","In-Person","Alexandria, VA","All","2026-01-17","Bishop Ireton HS. Large regional event.","24-Hour Hack","HS Students","Register online","Student-Run","hackbi.org","hackbi.org"
"SWIMMER OSINT CTF","Security","Online","Global","Int","2026-01-17","Open Source Intelligence focus.","CTF","Open","Register Team","OSINT, Research","ctftime.org","ctftime.org"
"Stang Hacks","Hack","In-Person","Danville, CA","All","2026-01-24","Tri-Valley area. Focus on AI tools.","24-Hour Hack","HS Students","Register online","AI, Web","stanghacks.com","stanghacks.com"
"Perse Coding Challenge R1","Algo","Online","Global","Int","2026-01-26","Round 1 window opens. Teams of 2.","40-Min Exam","Grade 7-11","Teacher Reg","Python, C++","pctc.perse.co.uk","pctc.perse.co.uk"
"Wharton Data Sci Deadline","Data","Online","Global","All","2026-01-28","Registration Deadline. ""Soccer"" theme.","Project","HS Teams (3-5)","Team Reg","Data, Sports","globalyouth.wharton.upenn.edu","globalyouth.wharton.upenn.edu"
"USACO February Contest","Algo","Online","USA/Global","Adv","2026-01-30","Second major contest.","4-Hour Exam","Open","Log in to start","Algo, Logic","usaco.org","usaco.org"
"ElleHacks","Hack","In-Person","Toronto, ON","All","2026-01-30","Women & Non-binary focus.","36-Hour Hack","Women/NB","Application","Inclusive, Tech","ellehacks.com","ellehacks.com"
"CyberWave","Hack","In-Person","Atlanta, GA","All","2026-01-31","Regional Georgia hackathon.","24-Hour Hack","HS Students","Register online","Makers, Code","cyberwave.dev","cyberwave.dev"
"PascalCTF Beginners","Security","Online","Global","Beg","2026-01-31","Beginner focused CTF.","CTF","Open","Team Reg","Intro, Web","ctftime.org","ctftime.org"
"PicoCTF Registration","Security","Online","Global","Beg/Int","2026-02-01","Registration opens for 2026 competition.","CTF","HS Students","Teacher/Student","Top Tier","picoctf.org","picoctf.org"
"LA CTF","Security","Hybrid","Los Angeles","Int/Adv","2026-02-06","UCLA hosted. ""Mini"" division for HS.","CTF","Open/HS Div","Team Reg","Web, Crypto","lac.tf","lac.tf"
"Swift Student Challenge","App","Online","Global","All","2026-02-06","Applications OPEN. Apple's main event.","App Project","Student","Apple ID","iOS, Swift","developer.apple.com","developer.apple.com"
"Arlington HS Contest","Algo","In-Person","Arlington, VA","All","2026-02-07","Student-led at Career Center.","3-Hour Contest","Local HS","Google Form","Java, Python","aps-hspc.pages.dev","aps-hspc.pages.dev"
"Hack4Hope","Hack","In-Person","Los Angeles","All","2026-02-07","Social impact focus.","24-Hour Hack","HS Students","Register online","Social Good","hack4hope.com","hack4hope.com"
"Cornell HS Programming","Algo","In-Person","Ithaca, NY","Adv","2026-02-08","Hosted by Cornell CS Dept.","3-Hour Contest","Teams of 3","Teacher Reg","University","cs.cornell.edu","cs.cornell.edu"
